                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2233,                 4.0765,                   1.36,                  0.001,                    0.3,                0.00068,                0.00035,                 1.4213,                 5.2242,                 1.7209,                  2e-05,                  2e-05,                  2e-05
                      2,                 1.2242,                 3.9663,                 1.3893,                  0.001,                    0.3,                0.03235,                0.00988,                 1.3087,                 5.0563,                 1.5516,              5.406e-05,              5.406e-05,              5.406e-05
                      3,                0.96311,                  3.546,                 1.2074,                  0.001,                    0.3,                0.19558,                0.05333,                 1.1694,                 4.7221,                 1.2548,               8.02e-05,               8.02e-05,               8.02e-05
                      4,                0.94118,                 3.3043,                  1.104,                0.00167,                    0.5,                0.19627,                0.10651,                 1.0248,                 4.4429,                 1.1175,              9.842e-05,              9.842e-05,              9.842e-05
                      5,                0.86971,                 3.0112,                 1.0311,                0.00233,                    0.7,                0.16394,                0.11653,                 1.0188,                 4.3343,                  1.082,             0.00010872,             0.00010872,             0.00010872
                      6,                0.87148,                 2.6099,                 1.0384,                  0.003,                    0.9,                0.19959,                0.12778,                 1.0199,                 4.3303,                 1.0511,              0.0001111,              0.0001111,              0.0001111
                      7,                0.85499,                 2.3794,                0.99157,                  0.003,                    0.9,                0.19984,                0.11896,                 1.0183,                 4.3079,                 1.0325,             0.00010556,             0.00010556,             0.00010556
                      8,                0.89414,                  2.331,                 1.0287,                  0.003,                    0.9,                0.21435,                0.11358,                0.99097,                 4.2389,                 1.0077,               9.21e-05,               9.21e-05,               9.21e-05
                      9,                0.70622,                 1.9773,                0.90807,                  0.003,                    0.9,                0.14309,                0.10324,                0.97908,                 4.1672,                0.99784,              7.072e-05,              7.072e-05,              7.072e-05
                     10,                0.77581,                 2.0512,                0.97225,                  0.003,                    0.9,                0.15994,                0.10956,                0.96365,                 4.1412,                0.99196,              4.142e-05,              4.142e-05,              4.142e-05
